Return_Button 返回
Return_Button_Tooltip 返回

Exit_Button 退出游戏
Exit_Button_Tooltip 退出游戏，并回到桌面

Report_Button 反馈Bug
Report_Button_Tooltip 反馈Bug

Trello_Button Trello 路线图
Trello_Button_Tooltip 看一看《Unturned》的未来吧！

Twitter_Button 推特新闻
Twitter_Button_Tooltip 开发信息和更新提醒。

Steam_Button Steam新闻
Steam_Button_Tooltip 完整的公告帖子和评论！

Credits_Button 制作组
Credits_Button_Tooltip 所有与《Unturned》有关的人！

Forum_Button 论坛
Forum_Button_Tooltip 成熟的讨论区

Blog_Button 博客
Blog_Button_Tooltip 发展和个人职位

Wiki_Button 维基百科
Wiki_Button_Tooltip 社区经营的维基百科。

Overlay 需要启用Steam Overlay功能
