Conditions Goals:
Rewards Rewards:

Condition_Experience {0}/{1} Experience
Condition_Reputation {0}/{1} Reputation
Condition_Item {0}/{1} {2}

Reward_Experience {0} Experience
Reward_Reputation {0} Reputation
Reward_Item {1} x{0}
Reward_Item_Random Random Item x{0}
Reward_Vehicle {0} x1

Accept Accept
Accept_Tooltip Take Quest
Decline Decline
Decline_Tooltip Ignore Quest
Continue Continue
Continue_Tooltip Complete Quest
Track_On Track
Track_Off Untrack
Track_Tooltip Pin/Unpin Details
Abandon Abandon
Abandon_Tooltip Dismiss Quest
Return Return
Return_Tooltip Exit Quest
