PlayButtonText 游玩
PlayButtonTooltip 游玩
SurvivorsButtonText 幸存者
SurvivorsButtonTooltip 幸存者
ConfigurationButtonText 设置
ConfigurationButtonTooltip 设置
WorkshopButtonText 创意工坊
WorkshopButtonTooltip 创意工坊
ExitButtonText 退出
ExitButtonTooltip 退出Unturned
BackButtonText 返回
BackButtonTooltip 返回
NewsTooltip 点击这里发表评论或查看公告的其他内容。

Curated_Workshop_Title 被采纳的内容: {0}
Highlighted_Workshop_Title 特色内容: {0}
Featured_Workshop_Title 受欢迎的内容: {0}
Featured_Workshop_Dismiss 关闭
ReadMore_Link_On [展开]
ReadMore_Link_Off [折叠]
Featured_Workshop_Link 在创意工坊查看
Featured_Workshop_Sub 订阅
Featured_Workshop_Unsub 取消订阅
Featured_Workshop_Stockpile_Link 查看 {0} 资源
News_Author {0} - {1}
News_Comments_Link 查看评论

Banned 你被禁止在这个服务器上再进行{0}，因为：{1}。
Kicked 你被服务器踢出！因为：{0}。
Whitelisted 你并不在服务器的白名单中！（服务器设置了白名单）
Password 你的密码不正确。
Full 这个服务器的玩家列表和队列已经满了。
Hash_Level 这个服务器使用的是一个修改过的地图版本。
Hash_Assembly 这个服务器使用的是修改过的代码。
Version 这个服务器运行的是 {0} 版本的Unturned，而你运行的是 {1} 版本的Unturned。
Pro_Server 你必须要Gold Update DLC才能进入这个服务器
Pro_Character 请选择一个有效的字符。
Pro_Desync Your client and the server disagree about whether you have Gold.
Pro_Appearance 请选择有效的面部、头发、胡须、皮肤颜色和发色。
Auth_Verification Your authentication ticket verification failed.
Auth_No_Steam 你没有连接到Steam。
Auth_License_Expired Your authentication ticket has expired.
Auth_VAC_Ban 你被禁止在VAC的安全服务器上游戏。
Auth_Elsewhere 你已经在另一个服务器上玩了。
Auth_Timed_Out Steam的反作弊服务器没有响应。
Auth_Used Your authentication ticket has already been used.
Auth_No_User 你没有连接到一个账户。
Auth_Pub_Ban 你被禁止玩多人游戏。
Auth_Econ_Serialize Your econ ticket failed to serialize.
Auth_Econ_Deserialize Your econ ticket failed to deserialize.
Auth_Econ_Verify Your econ ticket failed verification.
Auth_Empty Steam认证服务器没有响应。
Already_Connected 你已经连接到这个服务器了！
Already_Pending 你已经在这个服务器中的队列了。
Late_Pending 你在队列中失去了位置。
Not_Pending 你不是在这个服务器上玩。
Name_Player_Short 你的Steam用户名太短了。
Name_Player_Long 你的Steam用户名太长了。
Name_Player_Invalid 你的Steam用户名包含无效的字母。
Name_Player_Number 你的Steam用户名不能只是一个数字。
Name_Character_Short 你的角色名称太短了。
